last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Alonso, Pete,624413,53,15.1,47.2,118.3,92.3,100.4,81.6,454,220,422,28,52.8,15,28.3,16.9
Judge, Aaron,592450,48,13.0,41.7,118.1,98.4,99.9,97.3,418,189,376,32,66.7,9,18.8,10.1
Yelich, Christian,592885,71,16.1,28.2,116.3,95.5,98.9,93.7,435,204,404,40,56.3,15,21.1,14.6
Zunino, Mike,572287,38,25.8,21.1,116.1,91.3,96.5,89.6,406,197,,16,42.1,3,7.9,5.7
Garcia, Avisail,541645,50,12.7,40.0,115.5,93.7,97.3,90.5,447,200,425,23,46.0,9,18.0,11.4
Meadows, Austin,640457,56,16.4,44.6,115.4,91.4,94.7,89.3,436,204,396,22,39.3,9,16.1,10.8
Gallo, Joey,608336,40,18.2,35.0,115.4,98.8,102.8,91.0,442,221,427,26,65.0,13,32.5,17.1
Ozuna, Marcell,542303,52,14.9,36.5,115.3,90.7,95.9,85.4,455,195,415,21,40.4,10,19.2,12.5
Tellez, Rowdy,642133,35,13.8,45.7,115.2,92.6,98.7,82.3,449,199,421,16,45.7,6,17.1,9.7
Soler, Jorge,624585,48,15.3,29.2,115.1,88.9,91.6,87.7,454,172,404,19,39.6,5,10.4,5.5
Reyes, Franmil,614177,46,13.1,39.1,115.0,94.6,97.5,89.1,426,210,403,23,50.0,9,19.6,13.0
Davis, J.D.,605204,45,11.0,37.8,114.7,91.2,96.1,88.1,446,174,420,21,46.7,7,15.6,10.8
Schwarber, Kyle,656941,43,7.8,32.6,114.4,89.2,98.9,82.9,424,161,414,19,44.2,5,11.6,7.4
Marte, Ketel,606466,67,10.2,31.3,114.4,88.3,92.4,85.2,443,179,399,23,34.3,4,6.0,4.4
Harper, Bryce,547180,52,7.0,32.7,114.3,91.2,100.2,84.4,465,174,424,25,48.1,8,15.4,8.2
Lowe, Brandon,664040,48,12.0,37.5,114.3,90.7,98.1,83.0,436,184,391,22,45.8,7,14.6,8.5
Acuna Jr., Ronald,660670,52,16.6,38.5,114.3,92.0,92.5,93.0,462,183,429,24,46.2,8,15.4,8.5
Springer, George,543807,59,11.6,28.8,114.2,93.1,97.1,91.5,440,169,417,35,59.3,10,16.9,10.3
Moreland, Mitch,519048,48,15.2,35.4,114.0,93.6,99.4,87.9,411,210,390,27,56.3,11,22.9,15.3
Candelario, Jeimer,600869,51,18.1,31.4,114.0,86.0,90.2,84.6,413,185,,16,31.4,3,5.9,3.8
Gonzalez, Carlos,471865,15,-6.4,13.3,114.0,89.0,98.9,87.1,401,76,,7,46.7,1,6.7,4.5
Ramirez, Hanley,434670,32,6.3,50.0,113.8,88.9,95.0,82.7,416,168,414,14,43.8,2,6.3,3.5
Alfaro, Jorge,595751,30,8.1,30.0,113.7,92.6,99.9,82.4,387,167,363,18,60.0,4,13.3,7.0
Cron, C.J.,543068,45,19.1,37.8,113.6,88.2,93.8,85.1,418,183,392,16,35.6,5,11.1,8.3
Trout, Mike,545361,49,16.4,42.9,113.6,92.8,97.5,88.5,458,225,418,25,51.0,13,26.5,15.9
Altherr, Aaron,571437,15,12.6,26.7,113.5,84.4,89.4,74.5,335,166,,4,26.7,1,6.7,4.8
Dozier, Hunter,641531,53,16.3,43.4,113.5,94.2,97.0,91.7,453,235,415,25,47.2,8,15.1,9.6
Devers, Rafael,646240,62,2.3,24.2,113.4,89.7,93.7,89.9,370,122,,27,43.5,1,1.6,1.1
Bote, David,623520,34,7.4,26.5,113.4,87.5,88.8,89.2,417,148,417,13,38.2,2,5.9,4.0
Buxton, Byron,621439,45,22.8,44.4,113.4,93.7,99.2,91.3,390,220,,25,55.6,4,8.9,6.2
Moncada, Yoan,660162,60,12.6,46.7,113.3,95.5,98.9,91.5,458,214,420,30,50.0,12,20.0,13.8
Bell, Josh,605137,55,8.7,38.2,113.3,94.2,96.8,91.7,474,192,431,29,52.7,8,14.5,10.3
Rizzo, Anthony,519203,56,13.9,32.1,113.2,88.9,94.0,86.3,472,183,432,19,33.9,5,8.9,5.6
Pence, Hunter,452254,27,5.9,33.3,113.1,93.4,99.9,91.4,456,156,432,12,44.4,2,7.4,5.7
Contreras, Willson,575929,39,12.5,48.7,112.9,88.3,96.3,78.5,460,231,429,16,41.0,8,20.5,11.3
Moustakas, Mike,519058,53,22.2,34.0,112.9,91.5,96.1,91.6,417,208,406,24,45.3,9,17.0,10.8
McMahon, Ryan,641857,29,12.2,31.0,112.9,90.1,96.6,85.2,416,175,414,13,44.8,2,6.9,4.3
Realmuto, J.T.,592663,62,10.5,37.1,112.9,90.1,93.5,86.9,434,175,414,23,37.1,8,12.9,9.4
Mancini, Trey,641820,71,10.3,42.3,112.9,88.9,96.3,81.9,425,189,399,30,42.3,8,11.3,7.8
Gonzalez, Erik,570481,40,-0.8,25.0,112.8,81.6,89.5,79.2,362,115,,8,20.0,1,2.5,1.7
Correa, Carlos,621043,50,12.7,34.0,112.8,88.3,99.6,76.3,392,196,378,20,40.0,7,14.0,9.1
Santana, Carlos,467793,54,8.8,25.9,112.8,95.1,95.2,95.6,412,161,395,30,55.6,4,7.4,4.8
Herrera, Odubel,546318,52,13.7,30.8,112.8,88.6,89.9,88.5,393,192,393,16,30.8,4,7.7,5.8
Soto, Juan,665742,48,9.8,31.3,112.7,88.9,94.6,84.2,432,165,417,19,39.6,6,12.5,6.8
Vogelbach, Daniel,596129,39,16.2,51.3,112.7,94.2,98.0,91.7,434,239,398,20,51.3,6,15.4,8.3
Nunez, Renato,600524,60,15.9,36.7,112.7,92.2,97.4,87.8,450,192,412,28,46.7,7,11.7,8.0
Voit, Luke,572228,52,12.6,50.0,112.6,91.1,97.3,81.1,428,204,396,21,40.4,11,21.2,12.2
Drury, Brandon,592273,45,11.5,42.2,112.5,89.8,97.0,83.0,388,182,376,20,44.4,6,13.3,7.4
Desmond, Ian,435622,51,11.5,37.3,112.5,87.5,90.3,82.8,393,183,381,18,35.3,6,11.8,8.0
Donaldson, Josh,518626,50,7.6,34.0,112.5,94.1,100.9,89.1,409,182,402,27,54.0,7,14.0,7.8
Kepler, Max,596146,48,20.5,20.8,112.5,92.1,94.3,94.6,425,183,402,23,47.9,4,8.3,5.8
Bour, Justin,571506,41,11.0,29.3,112.5,88.5,92.4,86.5,389,160,389,16,39.0,2,4.9,2.9
Sanchez, Gary,596142,32,22.4,28.1,112.4,94.1,100.7,83.4,438,233,398,16,50.0,10,31.3,22.2
Walker, Christian,572233,45,13.2,37.8,112.4,96.1,100.6,90.7,441,203,416,28,62.2,10,22.2,13.2
Caratini, Victor,605170,10,3.2,50.0,112.3,96.3,98.7,92.6,405,189,354,6,60.0,1,10.0,5.9
Pederson, Joc,592626,60,12.4,35.0,112.2,92.5,98.3,86.6,421,198,398,32,53.3,10,16.7,11.1
Conforto, Michael,624424,61,19.2,42.6,112.2,91.5,96.2,82.8,413,219,395,25,41.0,11,18.0,11.5
Cruz, Nelson,443558,36,20.8,44.4,112.2,95.8,97.9,92.3,427,245,417,18,50.0,6,16.7,9.8
Peralta, David,444482,70,6.4,35.7,112.2,90.1,95.1,87.4,417,157,394,29,41.4,3,4.3,3.1
Diaz, Yandy,650490,58,2.1,25.9,112.2,90.8,98.3,88.8,420,141,384,24,41.4,5,8.6,5.6
Hicks, John,543308,27,15.0,37.0,112.1,89.8,93.3,87.1,390,176,378,10,37.0,2,7.4,4.9
Brinson, Lewis,621446,43,14.4,25.6,112.1,88.0,90.9,88.5,407,149,,16,37.2,3,7.0,4.2
Mazara, Nomar,608577,46,9.0,43.5,112.1,90.4,90.6,91.5,482,168,461,17,37.0,4,8.7,5.8
Adams, Matt,571431,18,10.1,44.4,112.1,90.4,101.6,79.1,406,195,403,8,44.4,5,27.8,16.1
Cano, Robinson,429664,65,13.6,44.6,112.1,90.0,93.7,85.4,429,196,411,27,41.5,8,12.3,8.8
Schoop, Jonathan,570731,49,9.5,32.7,112.0,88.6,94.3,85.4,435,173,416,17,34.7,5,10.2,7.2
Heyward, Jason,518792,51,14.2,29.4,111.8,90.5,91.6,92.4,415,168,394,22,43.1,4,7.8,5.6
Encarnacion, Edwin,429665,67,17.6,35.8,111.8,86.7,88.7,86.1,432,192,408,17,25.4,6,9.0,6.1
Perez, Hernan,541650,20,13.6,25.0,111.8,91.5,92.5,93.9,386,170,384,9,45.0,1,5.0,2.6
Bogaerts, Xander,593428,60,16.8,35.0,111.7,90.9,93.6,90.0,418,189,399,27,45.0,5,8.3,5.7
Odor, Rougned,596059,27,19.8,29.6,111.7,87.0,90.0,86.9,355,171,,7,25.9,0,0.0,0.0
Pillar, Kevin,607680,66,14.3,31.8,111.7,83.0,89.9,76.1,419,170,404,14,21.2,5,7.6,6.0
Smith Jr., Dwight,596105,69,8.7,40.6,111.7,87.2,92.3,81.8,440,178,403,22,31.9,3,4.3,3.3
Franco, Maikel,596748,67,19.5,19.4,111.6,87.7,93.6,86.0,429,168,413,22,32.8,7,10.4,8.1
Martinez, J.D.,502110,68,13.6,48.5,111.6,94.3,96.5,90.9,428,211,407,35,51.5,9,13.2,9.7
Chapman, Matt,656305,73,10.3,27.4,111.5,91.3,92.5,91.2,441,174,406,30,41.1,7,9.6,7.4
Kendrick, Howie,435062,23,16.0,47.8,111.4,95.3,99.5,90.6,435,229,419,14,60.9,6,26.1,17.1
Hernandez, Enrique,571771,53,20.9,37.7,111.4,88.9,92.8,86.9,416,189,404,20,37.7,6,11.3,7.4
Goodwin, Brian,571718,40,15.8,47.5,111.4,86.3,89.7,81.2,453,184,434,14,35.0,3,7.5,4.8
Reyes, Pablo,622569,17,13.0,11.8,111.4,86.6,88.2,86.2,315,158,,4,23.5,0,0.0,0.0
Pham, Tommy,502054,67,0.8,20.9,111.3,92.7,98.1,90.0,421,121,395,36,53.7,5,7.5,5.1
Jimenez, Eloy,650391,53,7.8,32.1,111.3,88.3,92.5,85.8,446,152,416,19,35.8,3,5.7,3.6
Morales, Kendrys,434778,47,14.3,29.8,111.2,93.5,96.9,91.0,399,167,399,26,55.3,6,12.8,9.2
O'Hearn, Ryan,656811,43,11.1,16.3,111.2,92.1,100.1,90.7,429,153,417,24,55.8,5,11.6,7.1
Bryant, Kris,592178,55,14.4,34.5,111.2,87.5,92.3,83.4,426,174,426,16,29.1,4,7.3,4.6
Piscotty, Stephen,572039,68,14.3,29.4,111.2,89.6,93.1,86.8,406,168,401,27,39.7,6,8.8,6.0
Cabrera, Miguel,408234,53,8.4,39.6,111.2,93.4,92.1,94.3,390,149,,27,50.9,5,9.4,5.8
Abreu, Jose,547989,56,15.9,33.9,111.1,90.8,97.6,88.0,437,166,416,29,51.8,11,19.6,12.5
Renfroe, Hunter,592669,44,13.8,29.5,111.1,92.4,93.7,92.6,423,169,404,19,43.2,5,11.4,7.8
Fowler, Dexter,451594,44,10.5,38.6,111.1,83.9,87.6,82.5,369,146,,11,25.0,0,0.0,0.0
Rondon, Jose,602922,18,4.6,27.8,110.9,86.8,88.0,86.1,385,147,385,6,33.3,1,5.6,3.6
Severino, Pedro,600474,24,16.6,33.3,110.8,83.2,92.3,74.4,426,161,416,5,20.8,3,12.5,9.1
Grandal, Yasmani,518735,49,9.1,34.7,110.8,93.8,99.4,90.0,441,179,412,26,53.1,7,14.3,9.3
Shaw, Travis,543768,47,17.4,27.7,110.8,88.4,92.4,85.0,410,170,410,20,42.6,2,4.3,2.4
Bader, Harrison,664056,26,2.8,46.2,110.8,82.2,96.1,69.6,432,206,428,10,38.5,3,11.5,6.0
Castillo, Welington,456078,28,13.6,32.1,110.8,88.1,96.9,83.5,399,187,379,11,39.3,4,14.3,8.3
Marte, Starling,516782,57,8.7,28.1,110.7,86.5,95.9,82.2,406,144,399,23,40.4,5,8.8,6.8
Romine, Austin,519222,29,12.7,27.6,110.7,91.7,94.5,94.1,391,156,391,17,58.6,2,6.9,5.4
Braun, Ryan,460075,54,8.9,25.9,110.7,90.2,96.2,87.9,424,168,407,23,42.6,7,13.0,9.0
Baez, Javier,595879,59,12.8,33.9,110.6,91.5,93.8,89.0,439,182,409,28,47.5,8,13.6,8.9
Bellinger, Cody,641355,74,12.0,51.4,110.6,93.8,99.2,83.6,428,213,408,40,54.1,12,16.2,12.0
Engel, Adam,641553,17,1.1,29.4,110.5,82.3,94.8,73.3,412,141,412,7,41.2,2,11.8,6.3
Naquin, Tyler,571980,39,13.3,35.9,110.5,88.6,92.6,87.8,420,160,420,15,38.5,3,7.7,4.9
Myers, Wil,571976,51,13.5,35.3,110.5,91.5,97.9,86.4,456,192,403,23,45.1,7,13.7,8.6
Kiermaier, Kevin,595281,55,8.0,29.1,110.5,89.0,93.0,86.6,437,152,423,25,45.5,5,9.1,6.3
LeMahieu, DJ,518934,64,10.8,31.3,110.4,92.1,98.0,89.7,375,160,373,34,53.1,2,3.1,2.4
Aguilar, Jesus,542583,50,13.1,36.0,110.4,88.7,93.0,85.1,370,171,,14,28.0,3,6.0,3.8
Palka, Daniel,594953,20,14.2,10.0,110.3,80.9,93.5,78.3,324,106,,3,15.0,1,5.0,2.4
Robles, Victor,645302,47,15.7,36.2,110.3,81.6,89.2,72.9,396,176,391,13,27.7,3,6.4,3.9
Gordon, Alex,460086,71,10.1,26.8,110.3,89.1,94.4,85.5,411,171,377,28,39.4,6,8.5,6.5
Mullins, Cedric,656775,53,14.1,18.9,110.3,82.2,88.0,79.5,396,132,,9,17.0,1,1.9,1.4
Miller, Brad,543543,26,11.5,23.1,110.3,88.9,92.6,84.2,409,178,409,12,46.2,2,7.7,5.0
Andrus, Elvis,462101,63,6.7,46.0,110.2,90.6,91.9,89.0,398,169,388,26,41.3,2,3.2,2.3
Villar, Jonathan,542340,75,11.0,33.3,110.2,88.8,92.1,89.9,415,147,396,27,36.0,3,4.0,2.9
Kang, Jung Ho,628356,32,8.3,25.0,110.2,92.0,95.2,89.8,431,148,415,14,43.8,3,9.4,4.9
Dietrich, Derek,518618,33,26.5,39.4,110.2,85.5,95.6,79.2,436,204,399,8,24.2,5,15.2,10.6
Tatis Jr., Fernando,665487,55,11.3,36.4,110.1,90.9,95.4,87.9,438,185,393,25,45.5,9,16.4,10.1
Suarez, Eugenio,553993,48,11.4,31.3,110.1,88.9,93.2,87.0,390,157,373,21,43.8,6,12.5,7.6
Valaika, Pat,642162,14,23.5,14.3,110.1,85.5,89.3,84.1,345,159,,2,14.3,0,0.0,0.0
Jansen, Danny,643376,38,3.5,31.6,110.1,88.6,92.5,86.0,386,134,,15,39.5,1,2.6,1.6
Martin, Leonys,547982,50,19.2,32.0,110.1,88.5,91.4,87.2,436,174,420,19,38.0,5,10.0,5.7
Cain, Lorenzo,456715,72,6.1,33.3,110.0,88.0,92.9,84.7,419,158,396,27,37.5,6,8.3,6.0
Freese, David,501896,22,3.4,36.4,110.0,87.5,95.5,84.3,390,136,390,10,45.5,4,18.2,11.1
Grichuk, Randal,545341,56,12.1,33.9,110.0,88.8,93.7,85.5,426,173,402,20,35.7,5,8.9,5.3
Zimmerman, Ryan,475582,48,9.9,29.2,110.0,88.9,93.9,86.2,374,162,363,23,47.9,3,6.3,4.3
Eaton, Adam,594809,65,14.7,26.2,109.9,86.5,90.5,85.2,421,165,421,20,30.8,2,3.1,2.2
Stewart, Christin,621514,40,24.4,40.0,109.9,88.5,93.4,76.4,419,221,406,15,37.5,7,17.5,10.9
Machado, Manny,592518,57,7.8,31.6,109.9,89.8,94.1,87.7,407,159,368,22,38.6,4,7.0,4.4
Healy, Ryon,592387,73,18.9,42.5,109.9,90.2,94.6,87.5,416,205,388,29,39.7,8,11.0,7.8
Nimmo, Brandon,607043,32,15.4,31.3,109.9,87.8,95.6,78.1,405,185,384,13,40.6,3,9.4,4.0
Davis, Khris,501981,65,12.3,26.2,109.9,88.4,94.9,80.8,426,195,399,23,35.4,11,16.9,11.8
Cabrera, Melky,466320,50,12.1,36.0,109.9,90.8,90.7,92.1,383,166,383,16,32.0,0,0.0,0.0
Diaz, Aledmys,649557,22,13.5,27.3,109.9,87.1,95.0,84.8,374,158,363,7,31.8,3,13.6,10.7
Moran, Colin,592567,25,12.4,36.0,109.9,91.1,95.6,86.9,397,167,392,12,48.0,3,12.0,7.7
Tauchman, Mike,643565,22,5.6,22.7,109.8,89.8,97.7,86.3,399,151,389,8,36.4,3,13.6,7.9
Segura, Jean,516416,56,5.2,33.9,109.8,87.6,91.2,87.1,379,143,376,19,33.9,2,3.6,2.7
Bourjos, Peter,488721,26,21.8,23.1,109.8,85.1,89.4,77.8,385,207,,4,15.4,1,3.8,2.4
Hernandez, Teoscar,606192,55,16.2,29.1,109.7,89.3,93.2,85.3,405,184,394,20,36.4,5,9.1,5.8
Choi, Ji-Man,596847,48,6.3,47.9,109.7,90.2,93.5,87.5,426,158,426,20,41.7,5,10.4,6.7
Laureano, Ramon,657656,55,14.6,38.2,109.7,89.9,93.2,88.2,438,180,421,21,38.2,6,10.9,7.1
DeJong, Paul,657557,69,20.1,46.4,109.7,89.2,95.0,83.0,462,215,415,30,43.5,9,13.0,9.5
Seager, Corey,608369,64,16.9,42.2,109.7,88.4,93.3,80.9,407,204,401,27,42.2,5,7.8,5.2
Nunez, Eduardo,456488,37,8.1,24.3,109.6,85.2,91.4,84.6,353,133,,9,24.3,0,0.0,0.0
Murphy, John Ryan,571974,12,24.8,50.0,109.5,91.8,99.2,86.6,436,238,405,5,41.7,3,25.0,12.0
Longoria, Evan,446334,65,19.0,29.2,109.5,90.7,95.6,87.0,398,186,393,29,44.6,5,7.7,5.8
McCutchen, Andrew,457705,56,10.4,33.9,109.4,91.5,93.4,92.0,428,161,404,28,50.0,6,10.7,6.1
Markakis, Nick,455976,64,6.2,31.3,109.4,92.5,93.7,92.2,418,137,398,31,48.4,3,4.7,3.5
Broxton, Keon,542979,19,2.9,31.6,109.4,86.1,93.4,79.5,356,172,,7,36.8,0,0.0,0.0
Goodrum, Niko,592348,46,14.4,47.8,109.4,91.4,95.9,85.1,408,199,388,24,52.2,6,13.0,8.5
Martinez, Jose,500874,40,9.2,37.5,109.3,89.4,91.2,88.0,425,169,425,14,35.0,3,7.5,5.8
Beckham, Gordon,493596,20,21.1,35.0,109.3,97.7,98.5,102.7,409,212,386,15,75.0,5,25.0,14.3
Bradley Jr., Jackie,598265,45,11.2,15.6,109.3,87.8,93.8,85.5,383,143,,16,35.6,0,0.0,0.0
Altuve, Jose,514888,65,15.6,27.7,109.3,89.4,96.0,85.4,448,177,401,31,47.7,9,13.8,10.1
Arcia, Orlando,606115,52,8.5,28.8,109.3,87.2,88.0,87.6,399,150,370,17,32.7,4,7.7,5.3
Cordell, Ryan,641477,12,19.5,58.3,109.2,94.6,101.1,81.9,402,254,402,7,58.3,2,16.7,11.8
Bruce, Jay,457803,51,26.4,41.2,109.2,91.3,95.7,85.7,437,260,407,21,41.2,11,21.6,12.6
Muncy, Max,571970,51,20.0,39.2,109.2,88.5,91.5,86.6,419,213,413,19,37.3,5,9.8,5.9
Pujols, Albert,405395,56,19.7,23.2,109.2,89.2,91.7,91.1,436,181,422,23,41.1,4,7.1,5.2
Goldschmidt, Paul,502671,56,14.1,41.1,109.1,89.8,97.1,80.8,464,229,418,23,41.1,10,17.9,10.3
Guzman, Ronald,608597,16,16.9,37.5,109.1,90.6,96.2,80.9,399,206,376,9,56.3,4,25.0,14.3
Reynolds, Mark,448602,24,20.2,41.7,109.1,88.5,91.5,86.4,439,188,403,11,45.8,2,8.3,3.8
Thames, Eric,519346,21,24.7,42.9,109.1,92.1,93.8,76.1,416,289,403,12,57.1,3,14.3,7.5
Iannetta, Chris,455104,15,4.9,60.0,109.0,87.5,91.1,82.0,393,182,393,6,40.0,2,13.3,6.1
Perez, Roberto,547379,29,9.0,37.9,109.0,90.6,92.9,90.8,421,168,394,16,55.2,4,13.8,7.5
Jones, JaCoby,592444,21,8.8,23.8,109.0,93.3,95.2,93.1,409,159,,11,52.4,1,4.8,3.4
Adames, Willy,642715,49,5.4,28.6,108.9,88.9,94.9,84.0,394,142,385,23,46.9,4,8.2,5.1
Carpenter, Matt,572761,60,24.2,40.0,108.9,89.2,92.5,80.4,423,227,421,19,31.7,7,11.7,7.5
Bauers, Jake,641343,49,13.7,30.6,108.8,87.0,92.8,82.7,406,176,404,16,32.7,4,8.2,5.4
Smoak, Justin,475253,52,16.7,46.2,108.8,91.5,94.5,88.3,413,230,394,22,42.3,7,13.5,8.5
Freeman, Freddie,518692,63,17.4,39.7,108.8,91.7,94.5,89.8,417,200,404,31,49.2,10,15.9,10.3
Albies, Ozzie,645277,72,11.4,36.1,108.7,88.2,91.1,85.2,415,169,392,20,27.8,4,5.6,4.1
O'Brien, Peter,598284,13,9.2,15.4,108.6,92.1,103.9,82.4,413,163,413,6,46.2,1,7.7,3.3
Hedges, Austin,595978,37,16.8,29.7,108.6,90.0,98.4,84.7,449,185,408,17,45.9,5,13.5,9.3
Lagares, Juan,501571,24,-1.8,33.3,108.6,87.2,83.7,89.5,384,96,384,9,37.5,1,4.2,2.4
Beckham, Tim,542921,58,10.1,39.7,108.6,88.7,92.8,83.9,430,169,401,19,32.8,4,6.9,4.3
Hundley, Nick,460026,24,13.0,20.8,108.6,84.1,86.0,84.2,362,131,,5,20.8,0,0.0,0.0
Pinder, Chad,640461,54,12.6,35.2,108.5,88.4,96.5,83.0,406,176,394,20,37.0,3,5.6,4.6
Schebler, Scott,594988,40,5.9,22.5,108.4,85.8,91.8,82.2,403,142,384,9,22.5,2,5.0,3.2
Hosmer, Eric,543333,64,6.6,35.9,108.4,89.2,94.2,86.3,399,150,395,28,43.8,4,6.3,4.4
Castro, Starlin,516770,70,6.1,31.4,108.4,89.4,93.4,87.6,419,139,418,31,44.3,4,5.7,4.3
Brantley, Michael,488726,70,6.9,30.0,108.4,89.4,92.4,88.6,433,153,411,27,38.6,2,2.9,2.3
Calhoun, Kole,594777,54,11.9,35.2,108.4,91.9,98.0,86.7,440,196,413,29,53.7,6,11.1,7.1
